,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,nome,US,64.5011,-165.4064,40.15,49,40,8.05,scattered clouds
147,hithadhoo,MV,-0.6,73.0833,82.06,77,99,5.93,overcast clouds
148,makat,KZ,47.6469,53.3463,52.99,33,41,10.78,scattered clouds
149,guerrero negro,MX,27.9769,-114.0611,72.61,69,1,20.29,clear sky
150,bousso,TD,10.4795,16.7117,73.22,84,100,4.25,overcast clouds
151,athabasca,CA,54.7169,-113.2854,52.63,58,97,13.31,overcast clouds
152,new norfolk,AU,-42.7826,147.0587,47.7,87,85,3.0,light rain
153,baykit,RU,61.67,96.37,44.58,98,100,1.99,light rain
154,ajdabiya,LY,30.7554,20.2263,81.79,34,0,10.65,clear sky
155,martapura,ID,-3.4167,114.85,73.49,100,20,2.3,mist
156,charlottesville,US,38.0293,-78.4767,79.47,81,1,1.01,clear sky
157,berlevag,NO,70.8578,29.0864,43.23,76,99,24.0,overcast clouds
158,sola,VU,-13.8833,167.55,84.87,70,75,8.05,broken clouds
159,sorong,ID,-0.8833,131.25,80.47,80,100,3.89,moderate rain
160,lorengau,PG,-2.0226,147.2712,85.01,68,90,8.14,overcast clouds
161,tasiilaq,GL,65.6145,-37.6368,33.96,73,81,2.64,broken clouds
162,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,43.39,100,90,17.9,light intensity shower rain
163,sangar,RU,63.9242,127.4739,36.97,77,49,7.58,scattered clouds
164,mahebourg,MU,-20.4081,57.7,70.09,56,20,6.91,few clouds
165,kathmandu,NP,27.7167,85.3167,71.82,94,40,2.3,scattered clouds
166,haines junction,CA,60.7522,-137.5108,57.15,38,61,3.44,broken clouds
167,sinnamary,GF,5.3833,-52.95,80.06,81,86,10.33,overcast clouds
168,raahe,FI,64.6833,24.4833,41.2,65,100,8.01,overcast clouds
169,moree,AU,-29.4667,149.85,66.22,45,0,8.05,clear sky
170,evensk,RU,61.95,159.2333,48.02,86,100,11.1,light rain
171,ketchikan,US,55.3422,-131.6461,55.87,88,90,10.36,light rain
172,ugoofaaru,MV,5.6667,73.0,82.04,79,34,10.98,scattered clouds
173,shimanovsk,RU,52.0,127.7,52.41,56,3,6.96,clear sky
174,severo-kurilsk,RU,50.6789,156.125,50.97,83,98,16.64,overcast clouds
175,cockburn town,TC,21.4612,-71.1419,82.69,76,41,16.22,scattered clouds
176,catuday,PH,16.2923,119.8062,79.75,80,94,6.04,overcast clouds
177,kupino,RU,54.3663,77.2981,37.13,80,95,17.87,light rain
178,mersing,MY,2.4312,103.8405,75.11,94,100,4.61,overcast clouds
179,kidal,ML,18.4411,1.4078,89.11,18,2,2.89,clear sky
180,nara,JP,34.6851,135.8049,74.57,70,39,1.86,scattered clouds
181,awjilah,LY,29.1081,21.2869,83.08,25,0,7.4,clear sky
182,saskylakh,RU,71.9167,114.0833,29.53,92,100,5.48,overcast clouds
183,yabelo,ET,4.8833,38.0833,64.31,61,74,4.21,light rain
184,saint-philippe,RE,-21.3585,55.7679,63.99,75,3,7.78,clear sky
185,pevek,RU,69.7008,170.3133,30.99,73,92,5.53,overcast clouds
186,hargeysa,SO,9.56,44.065,72.77,61,52,10.33,broken clouds
187,quatre cocos,MU,-20.2078,57.7625,69.91,62,74,10.33,broken clouds
188,mafra,BR,-26.1114,-49.8053,66.96,98,78,5.1,moderate rain
189,lompoc,US,34.6391,-120.4579,83.21,68,1,19.57,clear sky
190,olafsvik,IS,64.8945,-23.7142,47.12,89,100,24.87,light rain
191,bethel,US,41.3712,-73.414,68.67,80,5,4.14,clear sky
192,carnarvon,AU,-24.8667,113.6333,59.07,47,0,12.66,clear sky
193,seoul,KR,37.5683,126.9778,72.97,66,0,8.05,clear sky
194,sao pedro do sul,BR,-29.6206,-54.1789,66.85,97,90,8.23,overcast clouds
195,mossendjo,CG,-2.9506,12.7261,73.18,83,99,1.3,overcast clouds
196,avarua,CK,-21.2078,-159.775,80.65,69,20,11.5,few clouds
197,maniitsoq,GL,65.4167,-52.9,35.31,58,83,14.79,broken clouds
198,sambava,MG,-14.2667,50.1667,70.97,84,100,13.47,light rain
199,temryuk,RU,45.2722,37.3811,68.22,79,51,5.32,light rain
200,naze,JP,28.3667,129.4833,77.92,67,18,2.13,few clouds
201,kavieng,PG,-2.5744,150.7967,84.25,68,61,7.67,broken clouds
202,olga,RU,43.7444,135.2892,63.66,59,60,2.3,broken clouds
203,paamiut,GL,61.994,-49.6678,36.75,82,94,9.91,overcast clouds
204,carballo,ES,43.213,-8.691,60.91,92,70,4.03,broken clouds
205,touros,BR,-5.1989,-35.4608,77.9,77,100,17.98,overcast clouds
206,kargopol,RU,61.5071,38.9456,38.1,80,88,5.97,overcast clouds
207,egvekinot,RU,66.3167,-179.1667,27.48,55,0,2.37,clear sky
208,bengkulu,ID,-3.8004,102.2655,74.46,89,77,3.13,broken clouds
209,krasnoselkup,RU,65.7,82.4667,37.04,91,100,6.06,overcast clouds
210,grindavik,IS,63.8424,-22.4338,50.47,93,90,28.77,overcast clouds
211,kruisfontein,ZA,-34.0033,24.7314,50.88,89,31,6.4,scattered clouds
212,payo,ID,-3.7508,103.6372,74.32,86,64,0.98,broken clouds
