City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,pacific grove,US,82.58,clear sky,36.6177,-121.9166,Lovers Point Inn
249,the valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
250,springdale,US,84.33,scattered clouds,36.1867,-94.1288,Springdale Inn
254,tecoanapa,MX,82.69,broken clouds,16.5167,-98.75,Hotel Manglares
256,dakar,SN,78.93,clear sky,14.6937,-17.4441,Redface Studios Meublés
259,kavaratti,IN,81.43,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
260,mancio lima,BR,83.62,broken clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
264,kununurra,AU,80.58,clear sky,-15.7667,128.7333,Hotel Kununurra
265,high rock,BS,82.42,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
266,avera,US,81.72,overcast clouds,33.194,-82.5271,
271,hamilton,US,82.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
